id	rate		
8001	378.2		
8003	21.4		
8005	716.7		
8007	8.9		
8009	1.5		
8011	4.3		
8013	405.6		
8014	1691.9		
8015	17.6		
8017	1		
8019	0.00		
8021	6.4		
8023	2.9		
8025	7.4		
8027	5.8		
8029	27.1		
8031	3922.6		
8033	1.9		
8035	339.7		
8037	31		
8039	12.5		
8041			
8043	30.5		
8045	19.1		
8047	36.3		
8049	8		
8051	4.7		
8053	0.8		
8055	4.2		
8057	0.9		
8059	699.5		
8061	0.8		
8063	0.00		
8065	19.4		
8067	0.00		
8069	115.4		
8071	0.00		
8073	2.1		
8075	12.4		
8077	44.1		
8079	0.8		
8081	2.9		
8083	12.6		
8085	18.4		
8087	22		
8089	14.9		
8091	8.2		
8093	7.4		
8095	6.5		
8097	17.7		
8099	7.7		
8101	66.7		
8103	0.00		
8105	0.00		
8107	10		
8109	1.9		
8111	0.00		
8113	0.00		
8115	4.3		
8117	46		
8119	41.9		
8121	1.9		
8123	63.4		
8125	4.2	
